acc_id,tipo_veh,color_veh
2013|375,Pick up,Ignorado
2013|376,Motocicleta,Azul
2013|377,Motocicleta,Gris
2013|378,Automovil,Negro
2013|379,Motocicleta,Ignorado
2013|380,Motocicleta,Ignorado
2013|381,Microbus,Blanco
2013|382,Automovil,Negro
2013|383,Microbus,Beige
2013|384,Motocicleta,Negro
2013|385,Automovil,Blanco
2013|386,Mototaxi,Rojo
2013|387,Automovil,Corinto
2013|388,Motocicleta,Gris
2013|389,Cabezal,Amarillo
2013|390,Pick up,Ignorado
2013|391,Motocicleta,Ignorado
2013|392,Pick up,Gris
2013|393,Mototaxi,Rojo
2013|394,Mototaxi,Gris
2013|395,Motocicleta,Ignorado
2013|396,Automovil,Beige
2013|397,Motocicleta,Ignorado
2013|398,Camión,Ignorado
2013|399,Motocicleta,Ignorado
2013|400,Cabezal,Rojo
2013|401,Pick up,Rojo
2013|402,Motocicleta,Rojo
2013|403,Motocicleta,Negro
2013|404,Camión,Blanco
2013|405,Motocicleta,Anaranjado
2013|406,Motocicleta,Ignorado
2013|407,Motocicleta,Negro
2013|408,Motocicleta,Negro
2013|409,Pick up,Negro
2013|410,Pick up,Blanco
2013|411,Motocicleta,Rojo
2013|412,Camioneta,Verde
2013|413,Motocicleta,Negro
2013|414,Camioneta,Negro
2013|415,Motocicleta,Negro
2013|416,Automovil,Negro
2013|417,Automovil,Gris
2013|418,Motocicleta,Azul
2013|419,Automovil,Negro
2013|420,Automovil,Negro
2013|421,Pick up,Rojo
2013|422,Motocicleta,Ignorado
2013|423,Motocicleta,Ignorado
2013|424,Automovil,Ignorado
2013|425,Camión,Blanco
2013|426,Pick up,Blanco
2013|427,Pick up,Turqueza
2013|428,Automovil,Rojo
2013|429,Automovil,Blanco
2013|430,Automovil,Blanco
2013|431,Motocicleta,Rojo
2013|432,Cabezal,Rojo
2013|433,Automovil,Blanco
2013|434,Automovil,Gris
2013|435,Bus urbano,Azul
2013|436,Motocicleta,Rojo
2013|437,Motocicleta,Ignorado
2013|438,Motocicleta,Negro
2013|439,Automovil,Blanco
2013|440,Pick up,Negro
2013|441,Automovil,Gris
2013|442,Motocicleta,Negro
2013|443,Camioneta,Negro
2013|444,Motocicleta,Rojo
2013|445,Bus urbano,Rojo
2013|446,Camioneta,Blanco
2013|447,Automovil,Ignorado
2013|448,Pick up,Negro
2013|449,Automovil,Gris
2013|450,Automovil,Blanco
2013|451,Motocicleta,Negro
2013|452,Motocicleta,Negro
2013|453,Motocicleta,Negro
2013|454,Automovil,Ignorado
2013|455,Motocicleta,Rojo
2013|456,Motocicleta,Rojo
2013|457,Automovil,Blanco
2013|458,Motocicleta,Rojo
2013|459,Motocicleta,Negro
2013|460,Motocicleta,Rojo
2013|461,Motocicleta,Negro
2013|462,Pick up,Blanco
2013|463,Pick up,Azul
2013|464,Pick up,Corinto
2013|465,Motocicleta,Azul
2013|466,Pick up,Azul
2013|467,Pick up,Ignorado
2013|468,Motocicleta,Azul
2013|469,Automovil,Negro
2013|470,Cabezal,Azul
2013|471,Automovil,Azul
2013|472,Pick up,Beige
2013|473,Motocicleta,Rojo
2013|474,Pick up,Negro
2013|475,Automovil,Negro
2013|476,Motocicleta,Azul
2013|477,Automovil,Rojo
2013|478,Automovil,Gris
2013|479,Automovil,Rojo
2013|480,Automovil,Blanco
2013|481,Bus urbano,Rojo
2013|482,Motocicleta,Azul
2013|483,Bus urbano,Ignorado
2013|484,Automovil,Gris
2013|485,Motocicleta,Rojo
2013|486,Bus urbano,Rojo
2013|487,Pick up,Negro
2013|488,Cabezal,Blanco
2013|489,Motocicleta,Rojo
2013|490,Motocicleta,Negro
2013|491,Camioneta,Azul
2013|492,Automovil,Negro
2013|493,Automovil,Verde
2013|494,Motocicleta,Rojo
2013|495,Pick up,Beige
2013|496,Motocicleta,Azul
2013|497,Pick up,Beige
2013|498,Motocicleta,Gris
2013|499,Automovil,Beige
2013|500,Pick up,Gris
2013|501,Camión,Blanco
2013|502,Motocicleta,Negro
2013|503,Camioneta,Blanco
2013|504,Bus urbano,Celeste
2013|505,Pick up,Amarillo
2013|506,Automovil,Gris
2013|507,Pick up,Corinto
2013|508,Pick up,Verde
2013|509,Motocicleta,Gris
2013|510,Motocicleta,Corinto
2013|511,Automovil,Ignorado
2013|512,Motocicleta,Rojo
2013|513,Camión,Amarillo
2013|514,Pick up,Rojo
2013|515,Motocicleta,Rojo
2013|516,Bus extraurbano,Amarillo
2013|517,Motocicleta,Negro
2013|518,Pick up,Azul
2013|519,Pick up,Gris
2013|520,Motocicleta,Azul
2013|521,Pick up,Rojo
2013|522,Pick up,Azul
2013|523,Camioneta,Ignorado
2013|524,Motocicleta,Rojo
2013|525,Motocicleta,Negro
2013|526,Automovil,Corinto
2013|527,Automovil,Azul
2013|528,Cabezal,Rojo
2013|529,Motocicleta,Amarillo
2013|530,Pick up,Gris
2013|531,Motocicleta,Rojo
2013|532,Motocicleta,Azul
2013|533,Pick up,Rojo
2013|534,Pick up,Rojo
2013|535,Pick up,Azul
2013|536,Automovil,Celeste
2013|537,Motocicleta,Ignorado
2013|538,Automovil,Ignorado
2013|539,Motocicleta,Rojo
2013|540,Automovil,Anaranjado
2013|541,Pick up,Rojo
2013|542,Motocicleta,Negro
2013|543,Motocicleta,Negro
2013|544,Pick up,Corinto
2013|545,Camión,Blanco
2013|546,Automovil,Anaranjado
2013|547,Camioneta,Azul
2013|548,Automovil,Gris
2013|549,Automovil,Verde
2013|550,Motocicleta,Negro
2013|551,Motocicleta,Rojo
2013|552,Camioneta,Gris
2013|553,Motocicleta,Rojo
2013|554,Automovil,Blanco
2013|555,Automovil,Beige
2013|556,Motocicleta,Rojo
2013|557,Motocicleta,Gris
2013|558,Motocicleta,Azul
2013|559,Bus extraurbano,Ignorado
2013|560,Camión,Ignorado
2013|561,Motocicleta,Rojo
2013|562,Taxi,Blanco
2013|563,Camioneta,Negro
2013|564,Bus urbano,Ignorado
2013|565,Motocicleta,Ignorado
2013|566,Pick up,Verde
2013|567,Pick up,Blanco
2013|568,Microbus,Azul
2013|569,Microbus,Gris
2013|570,Automovil,Gris
2013|571,Camioneta,Azul
2013|572,Pick up,Ignorado
2013|573,Automovil,Ignorado
2013|574,Pick up,Gris
2013|575,Motocicleta,Gris
2013|576,Motocicleta,Rojo
2013|577,Camión,Rojo
2013|578,Automovil,Ignorado
2013|579,Bus urbano,Ignorado
2013|580,Bus urbano,Amarillo
2013|581,Motocicleta,Negro
2013|582,Mototaxi,Amarillo
2013|583,Motocicleta,Rojo
2013|584,Pick up,Verde
2013|585,Taxi,Blanco
2013|586,Pick up,Gris
2013|587,Automovil,Corinto
2013|588,Automovil,Ignorado
2013|589,Automovil,Rojo
2013|590,Automovil,Rojo
2013|591,Taxi,Blanco
2013|592,Motocicleta,Azul
2013|593,Pick up,Blanco
2013|594,Motocicleta,Negro
2013|595,Pick up,Ignorado
2013|596,Motocicleta,Azul
2013|597,Pick up,Rojo
2013|598,Motocicleta,Rojo
2013|599,Camioneta,Verde
2013|600,Bus extraurbano,Ignorado
2013|601,Motocicleta,Ignorado
2013|602,Motocicleta,Rojo
2013|603,Pick up,Blanco
2013|604,Motocicleta,Gris
2013|605,Motocicleta,Ignorado
2013|606,Bus urbano,Rojo
2013|607,Camioneta,Gris
2013|608,Automovil,Ignorado
2013|609,Motocicleta,Rojo
2013|610,Taxi,Ignorado
2013|611,Automovil,Ignorado
2013|612,Automovil,Negro
2013|613,Automovil,Ignorado
2013|614,Ignorado,Ignorado
2013|615,Pick up,Verde
2013|616,Pick up,Negro
2013|617,Automovil,Ignorado
2013|618,Motocicleta,Azul
2013|619,Automovil,Beige
2013|620,Automovil,Ignorado
2013|621,Motocicleta,Ignorado
2013|622,Bus extraurbano,Gris
2013|623,Camioneta,Negro
2013|624,Motocicleta,Negro
2013|625,Pick up,Azul
2013|626,Motocicleta,Negro
2013|627,Cabezal,Negro
2013|628,Motocicleta,Negro
2013|629,Microbus,Gris
2013|630,Automovil,Azul
2013|631,Motocicleta,Negro
2013|632,Automovil,Negro
2013|633,Pick up,Negro
2013|634,Automovil,Rojo
2013|635,Camión,Blanco
2013|636,Motocicleta,Gris
2013|637,Automovil,Gris
2013|638,Automovil,Blanco
2013|639,Motocicleta,Rojo
2013|640,Automovil,Verde
2013|641,Automovil,Beige
2013|642,Mototaxi,Beige
2013|643,Pick up,Amarillo
2013|644,Automovil,Rojo
2013|645,Pick up,Blanco
2013|646,Motocicleta,Blanco
2013|647,Pick up,Gris
2013|648,Pick up,Rojo
2013|649,Pick up,Rojo
2013|650,Pick up,Corinto
2013|651,Pick up,Rojo
2013|652,Motocicleta,Negro
2013|653,Motocicleta,Rojo
2013|654,Automovil,Ignorado
2013|655,Motocicleta,Ignorado
2013|656,Pick up,Negro
2013|657,Bus urbano,Rojo
2013|658,Pick up,Gris
2013|659,Motocicleta,Ignorado
2013|660,Pick up,Rojo
2013|661,Motocicleta,Ignorado
2013|662,Pick up,Blanco
2013|663,Automovil,Café
2013|664,Motocicleta,Gris
2013|665,Pick up,Rojo
2013|666,Automovil,Gris
2013|667,Motocicleta,Negro
2013|668,Automovil,Rojo
2013|669,Motocicleta,Ignorado
2013|670,Microbus,Blanco
2013|671,Camión,Ignorado
2013|672,Automovil,Gris
2013|673,Motocicleta,Negro
2013|674,Cabezal,Blanco
2013|675,Camioneta,Corinto
2013|676,Cabezal,Rojo
2013|677,Pick up,Corinto
2013|678,Pick up,Rojo
2013|679,Motocicleta,Negro
2013|680,Camioneta,Blanco
2013|681,Automovil,Azul
2013|682,Camión,Blanco
2013|683,Pick up,Negro
2013|684,Automovil,Rojo
2013|685,Panel,Blanco
2013|686,Motocicleta,Gris
2013|687,Motocicleta,Azul
2013|688,Automovil,Blanco
2013|689,Ignorado,Ignorado
2013|690,Motocicleta,Gris
2013|691,Mototaxi,Rojo
2013|692,Pick up,Negro
2013|693,Automovil,Corinto
2013|694,Camión,Celeste
2013|695,Pick up,Azul
2013|696,Pick up,Azul
2013|697,Pick up,Amarillo
2013|698,Automovil,Azul
2013|699,Microbus,Blanco
2013|700,Pick up,Gris
2013|701,Camión,Blanco
2013|702,Pick up,Blanco
2013|703,Pick up,Rojo
2013|704,Camión,Beige
2013|705,Pick up,Beige
2013|706,Microbus,Ignorado
2013|707,Bus extraurbano,Ignorado
2013|708,Motocicleta,Rojo
2013|709,Ignorado,Ignorado
2013|710,Motocicleta,Ignorado
2013|711,Microbus,Rojo
2013|712,Motocicleta,Ignorado
2013|713,Automovil,Gris
2013|714,Bus urbano,Rojo
2013|715,Camioneta,Negro
2013|716,Microbus,Blanco
2013|717,Camión,Blanco
2013|718,Pick up,Verde
2013|719,Cabezal,Ignorado
2013|720,Camioneta,Ignorado
2013|721,Automovil,Blanco
2013|722,Mototaxi,Rojo
2013|723,Automovil,Ignorado
2013|724,Motocicleta,Azul
2013|725,Taxi,Ignorado
2013|726,Ignorado,Ignorado
2013|727,Ignorado,Ignorado
2013|728,Motocicleta,Ignorado
2013|729,Automovil,Negro
2013|730,Pick up,Gris
2013|731,Pick up,Celeste
2013|732,Automovil,Gris
2013|733,Bus urbano,Rojo
2013|734,Motocicleta,Azul
2013|735,Cabezal,Rojo
2013|736,Automovil,Azul
2013|737,Automovil,Ignorado
2013|738,Motocicleta,Gris
2013|739,Pick up,Azul
2013|740,Motocicleta,Ignorado
2013|741,Taxi,Blanco
2013|742,Motocicleta,Ignorado
2013|743,Taxi,Blanco
2013|744,Automovil,Corinto
2013|745,Pick up,Azul
2013|746,Automovil,Corinto
2013|747,Pick up,Verde
2013|748,Automovil,Gris
2013|749,Pick up,Gris
2013|750,Pick up,Rojo
2013|751,Pick up,Anaranjado
2013|752,Automovil,Azul
2013|753,Automovil,Beige
2013|754,Automovil,Beige
2013|755,Pick up,Rojo
2013|756,Motocicleta,Rojo
2013|757,Pick up,Anaranjado
2013|758,Motocicleta,Celeste
2013|759,Panel,Blanco
2013|760,Camioneta,Azul
2013|761,Automovil,Rojo
2013|762,Pick up,Verde
2013|763,Motocicleta,Negro
2013|764,Motocicleta,Ignorado
2013|765,Motocicleta,Corinto
2013|766,Pick up,Negro
2013|767,Motocicleta,Negro
2013|768,Automovil,Negro
2013|769,Automovil,Blanco
2013|770,Pick up,Negro
2013|771,Camión,Blanco
2013|772,Motocicleta,Rojo
2013|773,Automovil,Negro
2013|774,Mototaxi,Rojo
2013|775,Automovil,Gris
2013|776,Motocicleta,Gris
2013|777,Motocicleta,Ignorado
2013|778,Pick up,Corinto
2013|779,Camión,Blanco
2013|780,Pick up,Azul
2013|781,Pick up,Negro
2013|782,Bus urbano,Ignorado
2013|783,Pick up,Ignorado
2013|784,Automovil,Verde
2013|785,Motocicleta,Rojo
2013|786,Motocicleta,Rojo
2013|787,Pick up,Blanco
2013|788,Pick up,Verde
2013|789,Cabezal,Blanco
2013|790,Motocicleta,Rojo
2013|791,Motocicleta,Ignorado
2013|792,Automovil,Gris
2013|793,Pick up,Azul
2013|794,Pick up,Azul
2013|795,Cabezal,Blanco
2013|796,Automovil,Rojo
2013|797,Motocicleta,Rojo
2013|798,Camión,Blanco
2013|799,Automovil,Negro
2013|800,Motocicleta,Azul
2013|801,Motocicleta,Ignorado
2013|802,Pick up,Beige
2013|803,Automovil,Blanco
2013|804,Motocicleta,Ignorado
2013|805,Motocicleta,Rojo
2013|806,Bus urbano,Ignorado
2013|807,Camión,Verde
2013|808,Pick up,Ignorado
2013|809,Ignorado,Ignorado
2013|810,Pick up,Rojo
2013|811,Pick up,Blanco
2013|812,Pick up,Corinto
2013|813,Motocicleta,Negro
2013|814,Motocicleta,Ignorado
2013|815,Mototaxi,Rojo
2013|816,Cabezal,Azul
2013|817,Motocicleta,Negro
2013|818,Cabezal,Rojo
2013|819,Camioneta,Negro
2013|820,Automovil,Amarillo
2013|821,Pick up,Negro
2013|822,Motocicleta,Rojo
2013|823,Pick up,Verde
2013|824,Motocicleta,Negro
2013|825,Motocicleta,Azul
2013|826,Camión,Blanco
2013|827,Motocicleta,Negro
2013|828,Motocicleta,Rojo
2013|829,Camioneta,Gris
2013|830,Camioneta,Verde
2013|831,Motocicleta,Rojo
2013|832,Automovil,Café
2013|833,Motocicleta,Rojo
2013|834,Automovil,Rojo
2013|835,Automovil,Verde
2013|836,Automovil,Gris
2013|837,Motocicleta,Rojo
2013|838,Automovil,Blanco
2013|839,Pick up,Rojo
2013|840,Motocicleta,Ignorado
2013|841,Pick up,Corinto
2013|842,Pick up,Ignorado
2013|843,Taxi,Ignorado
2013|844,Motocicleta,Ignorado
2013|845,Pick up,Blanco
2013|846,Motocicleta,Ignorado
2013|847,Pick up,Gris
2013|848,Automovil,Rojo
2013|849,Camión,Blanco
2013|850,Automovil,Beige
2013|851,Automovil,Blanco
2013|852,Automovil,Rojo
2013|853,Pick up,Anaranjado
2013|854,Pick up,Blanco
2013|855,Camión,Blanco
2013|856,Taxi,Blanco
2013|857,Automovil,Corinto
2013|858,Pick up,Blanco
2013|859,Camioneta,Amarillo
2013|860,Automovil,Rojo
2013|861,Ignorado,Ignorado
2013|862,Motocicleta,Negro
2013|863,Automovil,Rojo
2013|864,Motocicleta,Rojo
2013|865,Pick up,Azul
2013|866,Motocicleta,Gris
2013|867,Pick up,Ignorado
2013|868,Ignorado,Ignorado
2013|869,Motocicleta,Negro
2013|870,Ignorado,Ignorado
2013|871,Pick up,Rojo
2013|872,Automovil,Gris
2013|873,Automovil,Ignorado
2013|874,Automovil,Gris
2013|875,Automovil,Anaranjado
2013|876,Camioneta,Azul
2013|877,Automovil,Beige
2013|878,Automovil,Gris
2013|879,Automovil,Verde
2013|880,Motocicleta,Negro
2013|881,Motocicleta,Gris
2013|882,Motocicleta,Ignorado
2013|883,Automovil,Negro
2013|884,Motocicleta,Rojo
2013|885,Motocicleta,Azul
2013|886,Camioneta,Gris
2013|887,Pick up,Gris
2013|888,Automovil,Blanco
2013|889,Automovil,Blanco
2013|890,Pick up,Negro
2013|891,Automovil,Verde
2013|892,Pick up,Rojo
2013|893,Automovil,Verde
2013|894,Motocicleta,Azul
