acc_id,fallecidos_lesionados,fall_les,g_edad,sexo_vic
2013|417,Lesionado,,Menor de 15,
2013|418,Lesionado,,25-29,
2013|419,Lesionado,,40-44,
2013|420,Lesionado,,30-34,
2013|421,Fallecido,,50-54,
2013|422,Lesionado,,25-29,
2013|423,Lesionado,,20-24,
2013|424,Lesionado,,15-19,
2013|425,Lesionado,,20-24,
2013|426,Lesionado,,30-34,
2013|427,Lesionado,,30-34,
2013|428,Lesionado,,30-34,
2013|429,Lesionado,,15-19,
2013|430,Lesionado,,15-19,
2013|431,Lesionado,,15-19,
2013|432,Lesionado,,20-24,
2013|433,Lesionado,,30-34,
2013|434,Lesionado,,35-39,
2013|435,Lesionado,,50-54,
2013|436,Lesionado,,30-34,
2013|437,Lesionado,,30-34,
2013|438,Lesionado,,20-24,
2013|439,Lesionado,,Menor de 15,
2013|440,Lesionado,,15-19,
2013|441,Lesionado,,15-19,
2013|442,Fallecido,,20-24,
2013|443,Fallecido,,Ignorado,
2013|444,Lesionado,,15-19,
2013|445,Lesionado,,20-24,
2013|446,Fallecido,,20-24,
2013|447,Lesionado,,20-24,
2013|448,Lesionado,,50-54,
2013|449,Lesionado,,15-19,
2013|450,Fallecido,,30-34,
2013|451,Fallecido,,30-34,
2013|452,Lesionado,,30-34,
2013|453,Fallecido,,55 y más,
2013|454,Lesionado,,25-29,
2013|455,Fallecido,,25-29,
2013|456,Lesionado,,25-29,
2013|457,Lesionado,,20-24,
2013|458,Lesionado,,40-44,
2013|459,Lesionado,,45-49,
2013|460,Lesionado,,35-39,
2013|461,Lesionado,,20-24,
2013|462,Lesionado,,20-24,
2013|463,Lesionado,,45-49,
2013|464,Lesionado,,30-34,
2013|465,Lesionado,,20-24,
2013|466,Lesionado,,30-34,
2013|467,Lesionado,,25-29,
2013|468,Lesionado,,40-44,
2013|469,Lesionado,,15-19,
2013|470,Lesionado,,35-39,
2013|471,Lesionado,,20-24,
2013|472,Lesionado,,20-24,
2013|473,Lesionado,,20-24,
2013|474,Lesionado,,20-24,
2013|475,Lesionado,,15-19,
2013|476,Lesionado,,30-34,
2013|477,Lesionado,,15-19,
2013|478,Lesionado,,15-19,
2013|479,Lesionado,,15-19,
2013|480,Lesionado,,40-44,
2013|481,Lesionado,,Ignorado,
2013|482,Lesionado,,55 y más,
2013|483,Lesionado,,Ignorado,
2013|484,Lesionado,,55 y más,
2013|485,Lesionado,,20-24,
2013|486,Lesionado,,20-24,
2013|487,Fallecido,,45-49,
2013|488,Lesionado,,40-44,
2013|489,Lesionado,,40-44,
2013|490,Fallecido,,20-24,
2013|491,Fallecido,,35-39,
2013|492,Lesionado,,20-24,
2013|493,Lesionado,,20-24,
2013|494,Lesionado,,30-34,
2013|495,Lesionado,,50-54,
2013|496,Lesionado,,20-24,
2013|497,Lesionado,,20-24,
2013|498,Lesionado,,35-39,
2013|499,Lesionado,,35-39,
2013|500,Lesionado,,25-29,
2013|501,Fallecido,,35-39,
2013|502,Fallecido,,30-34,
2013|503,Lesionado,,25-29,
2013|504,Lesionado,,20-24,
2013|505,Lesionado,,15-19,
2013|506,Lesionado,,45-49,
2013|507,Lesionado,,50-54,
2013|508,Lesionado,,Menor de 15,
2013|509,Fallecido,,Ignorado,
2013|510,Lesionado,,25-29,
2013|511,Lesionado,,15-19,
2013|512,Lesionado,,35-39,
2013|513,Lesionado,,20-24,
2013|514,Lesionado,,20-24,
2013|515,Lesionado,,Ignorado,
2013|516,Lesionado,,Ignorado,
2013|517,Lesionado,,Ignorado,
2013|518,Lesionado,,40-44,
2013|519,Fallecido,,40-44,
2013|520,Fallecido,,20-24,
2013|521,Lesionado,,20-24,
2013|522,Lesionado,,25-29,
2013|523,Lesionado,,Ignorado,
2013|524,Lesionado,,50-54,
2013|525,Lesionado,,30-34,
2013|526,Lesionado,,20-24,
2013|527,Lesionado,,45-49,
2013|528,Fallecido,,40-44,
2013|529,Fallecido,,30-34,
2013|530,Lesionado,,25-29,
2013|531,Fallecido,,45-49,
2013|532,Lesionado,,Menor de 15,
2013|533,Lesionado,,Menor de 15,
2013|534,Lesionado,,Menor de 15,
2013|535,Lesionado,,25-29,
2013|536,Lesionado,,Menor de 15,
2013|537,Lesionado,,30-34,
2013|538,Fallecido,,30-34,
2013|539,Lesionado,,Ignorado,
2013|540,Fallecido,,35-39,
2013|541,Lesionado,,30-34,
2013|542,Lesionado,,30-34,
2013|543,Lesionado,,35-39,
2013|544,Lesionado,,40-44,
2013|545,Lesionado,,20-24,
2013|546,Lesionado,,Menor de 15,
2013|547,Lesionado,,Menor de 15,
2013|548,Lesionado,,Menor de 15,
2013|549,Lesionado,,20-24,
2013|550,Lesionado,,35-39,
2013|551,Lesionado,,Menor de 15,
2013|552,Lesionado,,20-24,
2013|553,Lesionado,,50-54,
2013|554,Lesionado,,15-19,
2013|555,Lesionado,,15-19,
2013|556,Lesionado,,Menor de 15,
2013|557,Lesionado,,20-24,
2013|558,Fallecido,,Menor de 15,
2013|559,Fallecido,,15-19,
2013|560,Lesionado,,Menor de 15,
2013|561,Fallecido,,15-19,
2013|562,Lesionado,,15-19,
2013|563,Lesionado,,15-19,
2013|564,Lesionado,,30-34,
2013|565,Lesionado,,20-24,
2013|566,Lesionado,,25-29,
2013|567,Lesionado,,40-44,
2013|568,Lesionado,,30-34,
2013|569,Lesionado,,20-24,
2013|570,Fallecido,,25-29,
2013|571,Lesionado,,35-39,
2013|572,Fallecido,,40-44,
2013|573,Lesionado,,Ignorado,
2013|574,Lesionado,,20-24,
2013|575,Lesionado,,55 y más,
2013|576,Lesionado,,25-29,
2013|577,Lesionado,,20-24,
2013|578,Lesionado,,40-44,
2013|579,Lesionado,,30-34,
2013|580,Fallecido,,25-29,
2013|581,Lesionado,,40-44,
